audiourl,title,artist,catalogue,writer,publishing
,Do The Hot Pants With Me,Hasil Adkins,45-001,,Hoody/Rockabilly Music
,Dottie Dottie,Hasil Adkins,45-001,,Hoody/Rockabilly Music
,Sex Crazy Baby,Hasil Adkins,45-001,,Hoody/Rockabilly Music
,She'll Be Comin' Round The Mountain,Hasil Adkins,45-001,,Hoody/Rockabilly Music
,Big Red Satellite,Hasil Adkins,45-002,,Hoody Music
,Ellen Marie,Hasil Adkins,45-002,,Hoody Music
,Facing All The Same Tomorrows,Hasil Adkins,45-003,,Vernon-wray Music
,Vendetta,Link Wray,45-003,,Vernon-wray Music
,Santa's Gonna Shut 'em down,"Untamed Youth, The",45-004,,Frantic Teen
,Santa's midnight Run,"Untamed Youth, The",45-004,,Sumar/Beechwood
,Miami Kiss,Hasil Adkins,45-005,,"Hoody Music, Rockabilly Music"
,Sally Wally Woody Waddy Weedy Wally,Hasil Adkins,45-005,,"Hoody Music, Rockabilly Music"
,I Ride A Tractor,Legendary Stardust Cowboy,45-006,,Chester Drawer Music
,Relaxation,Legendary Stardust Cowboy,45-006,,Chester Drawer Music
,Do De Squat,Great Gaylord  ,45-007,,Mercedes
,Squat With Me,Great Gaylord,45-007,,Llee Corporation
,Button Nose,"A-bones, The",45-008,,"Argo Music Inc, Songs Of Universal Inc"
,I'm Snowed,"A-bones, The",45-008,,Sony/ATV
,Rock N Bones,Elroy Dietzel and the Rhythm Bandits,45-009,,Tree BMI
,Shangai Rock,Elroy Dietzel and the Rhythm Bandits,45-009,,Bouquet BMI
,Teenage Ball,Elroy Dietzel and the Rhythm Bandits,45-009,,Boot House of Tunes
,Black Widow The,Roy Loney and the Phantom Movers,45-010,,Vernon Wray Music
,Bop-a-Lena/Somethin' Else,Roy Loney and the Phantom Movers,45-010,,"Cedarwood, Honey Honey Music"
,Evill Hearted Ada,Roy Loney and the Phantom Movers,45-010,,Loney Tunes BMI
,Rockin' In The Graveyard,Roy Loney and the Phantom Movers,45-010,,"Burnt Oak, BMI"
,Second Cousin,Roy Loney and the Phantom Movers,45-010,,Loney Tunes BMI
,Judy,"Rudy ""Tutti"" Grayzelle",45-011,,Knox Music
,One Mile,"Rudy ""Tutti"" Grayzelle",45-011,,Bay Side Publications
,Why Why Why,"Rudy ""Tutti"" Grayzelle",45-011,,Owl Song Pub
,You're Gone,"Rudy ""Tutti"" Grayzelle",45-011,,Starrite
,I Hate CD's,Legendary Stardust Cowboy,45-012,,Chester Drawer Music
,Linda,Legendary Stardust Cowboy,45-012,,Chester Drawer Music
,Baby,Lyres,45-013,,
,Getting Plenty of Lovin',Lyres,45-013,,
,Dew Drop Inn,Esquerita,45-014,,Bira 
